clients,size,initialStock,amountLimit,isolation,noCollisions,adjustAlgorithm,time,nodes,ar
8,256,8192,3,4,false,linear,20041,256,0.022864233
8,256,8192,3,4,false,linear,141246,256,0.020155282
8,256,8192,3,4,false,linear,69109,256,0.080779788
8,256,8192,3,4,false,linear,125217,256,0.0205712
8,256,8192,3,4,false,linear,60093,256,0.020339479
8,256,8192,3,4,false,linear,12032,256,0.016678012
8,256,8192,3,4,false,linear,146256,256,0.022556391
8,256,8192,3,4,false,linear,74119,256,0.078470706
8,256,8192,3,4,false,linear,150265,256,0.019864658
8,256,8192,3,4,false,linear,155278,256,0.021342819
8,256,8192,3,4,false,linear,59092,256,0.02113775
8,256,8192,3,4,false,linear,163288,256,0.021302999
8,256,8192,3,4,false,linear,88148,256,0.083328412
8,256,8192,3,4,false,linear,86144,256,0.085582066
8,256,8192,3,4,false,linear,21043,256,0.021463758
8,256,8192,3,4,false,linear,122211,256,0.022011385
8,256,8192,3,4,false,linear,119206,256,0.081302417
8,256,8192,3,4,false,linear,77125,256,0.082969693
8,256,8192,3,4,false,linear,152274,256,0.019902604
8,256,8192,3,4,false,linear,66104,256,0.085993633
8,256,8192,3,4,false,linear,108183,256,0.077394636
8,256,8192,3,4,false,linear,113193,256,0.081239243
8,256,8192,3,4,false,linear,49079,256,0.018024958
8,256,8192,3,4,false,linear,84139,256,0.079478271
8,256,8192,3,4,false,linear,126218,256,0.023809524
8,256,8192,3,4,false,linear,5025,256,0.020873827
8,256,8192,3,4,false,linear,47077,256,0.017425115
8,256,8192,3,4,false,linear,135235,256,0.022959184
8,256,8192,3,4,false,linear,172301,256,0.015769712
8,256,8192,3,4,false,linear,136237,256,0.022352647
8,256,8192,3,4,false,linear,78127,256,0.079633788
8,256,8192,3,4,false,linear,169296,256,0.022009569
8,256,8192,3,4,false,linear,140245,256,0.020049473
8,256,8192,3,4,false,linear,52083,256,0.02259887
8,256,8192,3,4,false,linear,44073,256,0.021282842
8,256,8192,3,4,false,linear,67105,256,0.085168207
8,256,8192,3,4,false,linear,97165,256,0.082987278
8,256,8192,3,4,false,linear,29052,256,0.02054073
8,256,8192,3,4,false,linear,144252,256,0.019448947
8,256,8192,3,4,false,linear,76123,256,0.081328818
8,256,8192,3,4,false,linear,62096,256,0.086125917
8,256,8192,3,4,false,linear,106180,256,0.080446627
8,256,8192,3,4,false,linear,177308,256,0.020794455
8,256,8192,3,4,false,linear,35063,256,0.017182131
8,256,8192,3,4,false,linear,23045,256,0.022108844
8,256,8192,3,4,false,linear,148261,256,0.016567545
8,256,8192,3,4,false,linear,17038,256,0.022441652
8,256,8192,3,4,false,linear,107182,256,0.083691826
8,256,8192,3,4,false,linear,4024,256,0.020875592
8,256,8192,3,4,false,linear,123213,256,0.022672065
8,256,8192,3,4,false,linear,168295,256,0.015568592
8,256,8192,3,4,false,linear,70111,256,0.083713764
8,256,8192,3,4,false,linear,174304,256,0.023469857
8,256,8192,3,4,false,linear,139243,256,0.02188755
8,256,8192,3,4,false,linear,50081,256,0.023262371
8,256,8192,3,4,false,linear,154276,256,0.018069728
8,256,8192,3,4,false,linear,25047,256,0.020675651
8,256,8192,3,4,false,linear,18039,256,0.022401763
8,256,8192,3,4,false,linear,143251,256,0.018993135
8,256,8192,3,4,false,linear,89150,256,0.081214058
8,256,8192,3,4,false,linear,165291,256,0.018972501
8,256,8192,3,4,false,linear,98167,256,0.083426353
8,256,8192,3,4,false,linear,63098,256,0.08388912
8,256,8192,3,4,false,linear,129224,256,0.02529511
