clients,size,initialStock,amountLimit,isolation,noCollisions,adjustAlgorithm,time,nodes,ar
8,256,8192,3,4,false,linear,26116,311,0.014373716632443531
8,256,8192,3,4,false,linear,119557,982,0.03770197486535009
8,256,8192,3,4,false,linear,13061,327,0.01605385810460901
8,256,8192,3,4,false,linear,76292,855,0.034122414160801876
8,256,8192,3,4,false,linear,90372,955,0.03601033960246011
8,256,8192,3,4,false,linear,50183,323,0.013107170393215111
8,256,8192,3,4,false,linear,169736,326,0.020600558659217876
8,256,8192,3,4,false,linear,38155,330,0.023529411764705882
8,256,8192,3,4,false,linear,105482,948,0.031217635744932682
8,256,8192,3,4,false,linear,12,256,0.0
8,256,8192,3,4,false,linear,62220,339,0.0634853899516502
8,256,8192,3,4,false,linear,156690,385,0.007722007722007722
8,256,8192,3,4,false,linear,12052,323,0.016273663234805714
8,256,8192,3,4,false,linear,131604,361,0.01910828025477707
8,256,8192,3,4,false,linear,143636,331,0.019746121297602257
8,256,8192,3,4,false,linear,75289,837,0.03876386346505868
8,256,8192,3,4,false,linear,89368,963,0.03440150801131008
8,256,8192,3,4,false,linear,25114,354,0.023809523809523808
8,256,8192,3,4,false,linear,37147,323,0.013492475350285417
8,256,8192,3,4,false,linear,118554,952,0.036535859269282815
8,256,8192,3,4,false,linear,168734,320,0.019807583474816072
8,256,8192,3,4,false,linear,49181,327,0.015539305301645339
8,256,8192,3,4,false,linear,104479,947,0.03568185945160705
8,256,8192,3,4,false,linear,61216,351,0.06559220389805097
8,256,8192,3,4,false,linear,88353,943,0.03600713012477719
8,256,8192,3,4,false,linear,117538,951,0.03528836754643206
8,256,8192,3,4,false,linear,180774,316,0.01913171449595291
8,256,8192,3,4,false,linear,103463,951,0.036734693877551024
8,256,8192,3,4,false,linear,142634,330,0.0
8,256,8192,3,4,false,linear,11050,361,0.018726591760299626
8,256,8192,3,4,false,linear,155688,340,0.023651844843897825
8,256,8192,3,4,false,linear,130602,385,0.014915254237288136
8,256,8192,3,4,false,linear,74286,873,0.03415915915915916
8,256,8192,3,4,false,linear,24112,318,0.017543859649122806
8,256,8192,3,4,false,linear,36145,328,0.0157244477723699
8,256,8192,3,4,false,linear,48177,355,0.023054755043227664
8,256,8192,3,4,false,linear,60212,324,0.018696069031639503
8,256,8192,3,4,false,linear,87349,990,0.03240506329113924
8,256,8192,3,4,false,linear,116535,970,0.03473227206946455
8,256,8192,3,4,false,linear,167733,330,0.023679417122040074
8,256,8192,3,4,false,linear,179771,309,0.014965986394557823
8,256,8192,3,4,false,linear,154686,331,0.019083969465648856
8,256,8192,3,4,false,linear,102460,933,0.03471894189891356
8,256,8192,3,4,false,linear,10047,319,0.0175054704595186
8,256,8192,3,4,false,linear,23103,319,0.01576182136602452
8,256,8192,3,4,false,linear,73280,821,0.03848915697256929
