mode,type,cc,isolation,clients,size,tx/s,ar,rt
TPC_C,NATIVE,SILO,SERIALIZABLE,32,2,536989.4330341578,0.3945086196530164,6e-05
TPC_C,NATIVE,SILO,SERIALIZABLE,32,32,932092.1719452519,5.568184507361836e-06,3.4e-05
TPC_C,NATIVE,SILO,SERIALIZABLE,32,4,667144.8039646368,0.26965355009033604,4.8e-05
TPC_C,NATIVE,SILO,SERIALIZABLE,32,8,764453.2620964306,0.1567528433509011,4.2e-05
TPC_C,NATIVE,TICTOC,SERIALIZABLE,32,1,410168.36546196096,0.5234836674706673,7.8e-05
TPC_C,NATIVE,TICTOC,SERIALIZABLE,32,16,856947.4615599769,0.07108970280832501,3.7e-05
TPC_C,NATIVE,TICTOC,SERIALIZABLE,32,2,548137.9967118154,0.3903855500749754,5.8e-05
TPC_C,NATIVE,TICTOC,SERIALIZABLE,32,32,916368.2673247687,7.65787403493383e-06,3.5e-05
TPC_C,NATIVE,TICTOC,SERIALIZABLE,32,4,660345.3464597922,0.2703265025882087,4.8e-05
TPC_C,NATIVE,TICTOC,SERIALIZABLE,32,8,762198.5142363756,0.16376735389721844,4.2e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,1,5676.685262720805,0.9925240377461574,0.005637
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,16,849907.0261903126,0.06981930227700021,3.8e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,2,72086.62764809182,0.9070405978656432,0.000444
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,32,894786.9602195089,1.6986107402477662e-06,3.6e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,4,493620.9462634884,0.4581472462343301,6.5e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,8,753124.0645060997,0.17709072268796702,4.2e-05
