mode,name,cc,isolation,threads,warehouses,throughput,abort_rate,latency
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,8,919984.9928411596,0.0031640369129924567,3.5e-05
TPC_C,MRV,WAIT_DIE,SERIALIZABLE,32,9,911635.3057804677,0.0027501327821795375,3.5e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,1,5144.3015147184815,0.9932112476575765,0.00622
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,10,823112.5399028094,0.11454621093692702,3.9e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,11,760126.4423205975,0.09296890131958789,4.2e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,12,834969.3859329865,0.09021823310964804,3.8e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,13,835905.2965749825,0.08141982748526094,3.8e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,14,852577.11476929,0.07243889080781114,3.8e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,15,840644.4410379394,0.0644504893803656,3.8e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,16,867600.3785185008,0.05693107977163825,3.7e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,17,885811.2876977265,0.05055446347332553,3.6e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,18,892823.1230358265,0.04880994170217554,3.6e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,19,865630.0747989574,0.04607460591024963,3.7e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,2,61092.68713303896,0.9200046631338186,0.000524
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,20,872185.2861430163,0.039678945183053746,3.7e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,21,744198.7336210364,0.03892589991696618,4.3e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,22,852041.8213610625,0.0413000041411297,3.8e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,23,874327.6062266893,0.03154776884584104,3.7e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,24,874504.9193367509,0.028160429953327435,3.7e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,3,224526.39561430912,0.7315569218200636,0.000143
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,4,454774.15064042615,0.4999265985603135,7e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,5,630628.7447093098,0.3212429906933713,5.1e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,6,737830.2494084955,0.20674994955686612,4.3e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,7,779710.404490879,0.17162481291897821,4.1e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,8,777777.6681241606,0.14424790291897463,4.1e-05
TPC_C,NATIVE,WAIT_DIE,SERIALIZABLE,32,9,794162.5462974509,0.1343808330156888,4e-05
