type,clients,size,initialStock,amountLimit,isolation,noCollision,initialNodes,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub
normal,1,1,8192,3,4,false,0,4032.5555555555557,0.0,0.24776370682087454,418.0792593023762,0.05981761233118759,0.312906,0.0,0.0
mrv,1,1,8192,3,4,false,1,413.85,0.0,2.4147153311317844,41.45503942969596,0.24816611397690408,2.745082,0.0,0.0
mrv,1,1,8192,3,4,false,2,405.0444444444444,0.0,2.4687435927058763,49.29529203680069,0.2073070316108985,2.822869,0.0,0.0
mrv,1,1,8192,3,4,false,4,402.7,0.0,2.4830757623265183,51.350365139889696,0.21328085557235082,2.8559,0.0,0.0
mrv,1,1,8192,3,4,false,8,400.7055555555556,0.0,2.4954670736201425,48.188761809221475,0.28610636716735965,2.984594,0.0,0.0
mrv,1,1,8192,3,4,false,16,401.93888888888887,0.0,2.487886660202629,48.687293842432304,0.2077842119180877,2.869599,0.0,0.0
mrv,1,1,8192,3,4,false,32,387.4166666666667,0.0,2.581075209579121,50.37710244724672,0.23810733109297974,2.9838,0.0,0.0
mrv,1,1,8192,3,4,false,64,381.25555555555553,0.0,2.622829736659575,47.091340807891285,0.23098138415904684,2.980844,0.0,0.0
mrv,1,1,8192,3,4,false,128,362.69444444444446,0.0,2.7571319717852494,47.6860391868871,0.2928645803098159,3.281233,0.0,0.0
mrv,1,1,8192,3,4,false,256,327.52222222222224,0.0,3.053208191047257,40.15870802286049,0.2566330650384281,3.495575,0.0,0.0
mrv,1,1,8192,3,4,false,512,284.25555555555553,0.0,3.518021811144119,31.91279375468025,0.2677817591566408,3.926991,0.0,0.0
mrv,1,1,8192,3,4,false,1024,221.92777777777778,0.0,4.506159852980199,29.15932848864145,0.4207598607452685,5.552638,0.0,0.0
